external_id,name,area,category,address,lat,lng,manual_score,tags,time_slots,place_url,is_active
50216955,공미학 마포홍대점,hongdae,cafe,서울 마포구 양화로 162,37.556429314936146,126.92386955175071,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/50216955,true
1356799809,홍콩다방 홍대입구역점,hongdae,cafe,서울 마포구 양화로18길 9,37.55676948656388,126.92464219320048,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1356799809,true
1203662847,엘로엘 & 로 커피,hongdae,cafe,서울 마포구 홍익로6길 67,37.5569317612082,126.924791421549,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1203662847,true
89508097,커피덕,hongdae,cafe,서울 마포구 월드컵북로2길 37,37.55685378201484,126.92263324389977,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/89508097,true
493483079,M카페,hongdae,cafe,서울 마포구 양화로 176,37.5572319118907,126.924977860337,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/493483079,true
2079245763,메가MGC커피 동교삼거리점,hongdae,cafe,서울 마포구 동교로 199,37.558008981031,126.92281766015,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/2079245763,true
1122349532,투썸플레이스 홍대CGV스윗바점,hongdae,cafe,서울 마포구 양화로 153,37.5564267925965,126.922760441141,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1122349532,true
27380472,옻칠갤러리카페,hongdae,cafe,서울 마포구 월드컵북로2길 33,37.55679689448855,126.92244316808761,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/27380472,true
1969925488,메가MGC커피 홍대입구역점,hongdae,cafe,서울 마포구 홍익로6길 48,37.55619709509767,126.9242387367584,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1969925488,true
1761416043,커피빈 홍대역8번출구점,hongdae,cafe,서울 마포구 양화로18안길 7,37.5567742084775,126.92498284622,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1761416043,true
529253496,비밀의화원 다운타운 홍대점,hongdae,cafe,서울 마포구 양화로 156,37.5561064859019,126.923448871669,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/529253496,true
18657395,심리카페닷컴,hongdae,cafe,서울 마포구 어울마당로 133,37.556251419961,126.924652900611,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/18657395,true
231272664,스타벅스 홍대공항철도역점,hongdae,cafe,서울 마포구 양화로 178,37.557509550972256,126.92518582665798,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/231272664,true
1007769753,카페게이트 동교점,hongdae,cafe,서울 마포구 동교로 203,37.5583244915411,126.92306519384,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1007769753,true
1618571685,차백도 홍대1호점,hongdae,cafe,서울 마포구 양화로18안길 8,37.5565940551388,126.925055458862,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1618571685,true
965561452,바나프레소 동교점,hongdae,cafe,서울 마포구 동교로 205,37.5584173347071,126.923127346186,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/965561452,true
1770405689,러브엔젤 메이드카페,hongdae,cafe,서울 마포구 홍익로6길 38,37.5558670294436,126.923771662427,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1770405689,true
104516247,오스카 커피부스,hongdae,cafe,서울 마포구 동교로 187,37.5572047462075,126.921987777901,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/104516247,true
2134411175,벌툰 봉화당 홍대입구역점,hongdae,cafe,서울 마포구 어울마당로 137,37.5564499530999,126.925146143059,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/2134411175,true
9362425,위드커피,hongdae,cafe,서울 마포구 양화로18안길 12,37.5566843183141,126.92531340793,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/9362425,true
15985522,이미커피,hongdae,cafe,서울 마포구 동교로25길 7,37.55747500027613,126.92191959031598,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/15985522,true
808358721,토커바웃커피 브루어스,hongdae,cafe,서울 마포구 동교로 185,37.55711005549745,126.92185772439467,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/808358721,true
1868218412,재신 동교,hongdae,cafe,서울 마포구 월드컵북로2길 25,37.556464196494446,126.92209380255109,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1868218412,true
42248597,데이롱카페 홍대점,hongdae,cafe,서울 마포구 동교로 182-6,37.5565848687744,126.92200087338,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/42248597,true
772136066,피에스타7커피 홍대경인점,hongdae,cafe,서울 마포구 홍익로6길 83,37.5574061717155,126.925558280031,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/772136066,true
10600580,써니네,hongdae,cafe,서울 마포구 양화로18안길 16,37.5567060480685,126.925480885594,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/10600580,true
878043727,씨더라이트,hongdae,cafe,서울 마포구 양화로18안길 16,37.5567204725862,126.925494452261,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/878043727,true
19807068,딥커피,hongdae,cafe,서울 마포구 동교로 209,37.558714803316974,126.9233420793055,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/19807068,true
1753788546,페어베리바나나,hongdae,cafe,서울 마포구 어울마당로 136,37.5559849202411,126.924959870876,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/1753788546,true
144696587,에로스 사주 타로 카페,hongdae,cafe,서울 마포구 홍익로6길 30,37.5556334728668,126.923465199838,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/144696587,true
2120763747,버티컬커피,hongdae,cafe,서울 마포구 어울마당로 134,37.55590648746437,126.92488751814653,50,"{카페,대화}","{cafe,dessert}",http://place.map.kakao.com/2120763747,true
